Title,Awards,Total_Awards_Won,Total_Awards_Nominated,Prime_Awards_Nominated,Oscar_Awards_Nominated,Golden_Globe_Awards_Nominated,BAFTA_Awards_Nominated,Prime_Awards_Won,Oscar_Awards_Won,Golden_Globe_Awards_Won,BAFTA_Awards_Won
The Wild,2 nominations.,0,2,0,0,0,0,0,0,0,0
Battlestar Galactica,Won 3 Primetime Emmys. Another 34 wins & 89 nominations.,37,89,0,0,0,0,3,0,0,0
Transformers,Nominated for 3 Oscars. Another 19 wins & 40 nominations.,19,43,0,3,0,0,0,0,0,0
The A-Team,2 wins & 4 nominations.,2,4,0,0,0,0,0,0,0,0
Alan Partridge,1 win & 7 nominations.,1,7,0,0,0,0,0,0,0,0
The Croods,Nominated for 1 Oscar. Another 5 wins & 41 nominations.,5,42,0,1,0,0,0,0,0,0
Escape from Planet Earth,1 win.,1,0,0,0,0,0,0,0,0,0
Man of Steel,7 wins & 42 nominations.,7,42,0,0,0,0,0,0,0,0
The Boxtrolls,Nominated for 1 Oscar. Another 8 wins & 58 nominations.,8,59,0,1,0,0,0,0,0,0
Interstellar,Won 1 Oscar. Another 39 wins & 134 nominations.,40,134,0,0,0,0,0,1,0,0
World War Z,3 wins & 23 nominations.,3,23,0,0,0,0,0,0,0,0
Dracula Untold,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0,0
Godzilla,5 wins & 28 nominations.,5,28,0,0,0,0,0,0,0,0
The Avengers,Nominated for 1 Oscar. Another 34 wins & 75 nominations.,34,76,0,1,0,0,0,0,0,0
Epic,2 wins & 21 nominations.,2,21,0,0,0,0,0,0,0,0
Mr. Peabody & Sherman,2 wins & 16 nominations.,2,16,0,0,0,0,0,0,0,0
Love & Mercy,Nominated for 2 Golden Globes. Another 20 wins & 52 nominations.,20,54,0,0,2,0,0,0,0,0
Rule Number One,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
The Sisterhood of Night,2 wins & 4 nominations.,2,4,0,0,0,0,0,0,0,0
I Believe in Unicorns,2 wins & 7 nominations.,2,7,0,0,0,0,0,0,0,0
Perfection,1 win.,1,0,0,0,0,0,0,0,0,0
Jack Ryan: Shadow Recruit,2 nominations.,0,2,0,0,0,0,0,0,0,0
The Lone Ranger,Nominated for 2 Oscars. Another 4 wins & 17 nominations.,4,19,0,2,0,0,0,0,0,0
Anchorman 2: The Legend Continues,1 win & 23 nominations.,1,23,0,0,0,0,0,0,0,0
RoboCop,4 wins & 1 nomination.,4,1,0,0,0,0,0,0,0,0
Teenage Mutant Ninja Turtles,1 win & 10 nominations.,1,10,0,0,0,0,0,0,0,0
Iron Man 3,Nominated for 1 Oscar. Another 17 wins & 53 nominations.,17,54,0,1,0,0,0,0,0,0
The Great Gatsby,Won 2 Oscars. Another 44 wins & 74 nominations.,46,74,0,0,0,0,0,2,0,0
If I Stay,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
Star Trek Into Darkness,Nominated for 1 Oscar. Another 6 wins & 46 nominations.,6,47,0,1,0,0,0,0,0,0
Hansel & Gretel: Witch Hunters,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
The Wolverine,2 wins & 11 nominations.,2,11,0,0,0,0,0,0,0,0
Monsters University,Nominated for 1 BAFTA Film Award. Another 9 wins & 54 nominations.,9,55,0,0,0,1,0,0,0,0
Gravity,Won 7 Oscars. Another 215 wins & 169 nominations.,222,169,0,0,0,0,0,7,0,0
Big Sur,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Lego Movie,Nominated for 1 Oscar. Another 70 wins & 59 nominations.,70,60,0,1,0,0,0,0,0,0
Exodus: Gods and Kings,4 nominations.,0,4,0,0,0,0,0,0,0,0
The Skeleton Twins,4 wins & 10 nominations.,4,10,0,0,0,0,0,0,0,0
Maleficent,Nominated for 1 Oscar. Another 9 wins & 40 nominations.,9,41,0,1,0,0,0,0,0,0
Warm Bodies,1 win & 9 nominations.,1,9,0,0,0,0,0,0,0,0
Monument to Michael Jackson,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0
24: Live Another Day,Nominated for 3 Primetime Emmys. Another 14 nominations.,0,17,3,0,0,0,0,0,0,0
A Good Day to Die Hard,3 wins & 7 nominations.,3,7,0,0,0,0,0,0,0,0
Free Birds,2 nominations.,0,2,0,0,0,0,0,0,0,0
Oz the Great and Powerful,5 wins & 31 nominations.,5,31,0,0,0,0,0,0,0,0
Edge of Tomorrow,11 wins & 34 nominations.,11,34,0,0,0,0,0,0,0,0
Romeo & Juliet,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
How to Train Your Dragon 2,Nominated for 1 Oscar. Another 13 wins & 59 nominations.,13,60,0,1,0,0,0,0,0,0
Kick-Ass 2,1 win & 7 nominations.,1,7,0,0,0,0,0,0,0,0
A Miracle in Spanish Harlem,1 nomination.,0,1,0,0,0,0,0,0,0,0
Pacific Rim,Nominated for 1 BAFTA Film Award. Another 5 wins & 42 nominations.,5,43,0,0,0,1,0,0,0,0
Now You See Me,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
Despicable Me 2,Nominated for 2 Oscars. Another 12 wins & 63 nominations.,12,65,0,2,0,0,0,0,0,0
Mario Lopez: Saved by the Baby,1 nomination.,0,1,0,0,0,0,0,0,0,0
Planes,5 nominations.,0,5,0,0,0,0,0,0,0,0
All Fall Down,1 nomination.,0,1,0,0,0,0,0,0,0,0
Alexander and the Terrible; Horrible; No Good; Very Bad Day,1 win & 7 nominations.,1,7,0,0,0,0,0,0,0,0
Meth Head,14 wins.,14,0,0,0,0,0,0,0,0,0
Anna,3 nominations.,0,3,0,0,0,0,0,0,0,0
Sugar,2 wins.,2,0,0,0,0,0,0,0,0,0
Ender's Game,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
Brother's Keeper,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0,0
1864,8 nominations.,0,8,0,0,0,0,0,0,0,0
Walking with Dinosaurs 3D,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Maze Runner,4 wins & 10 nominations.,4,10,0,0,0,0,0,0,0,0
Tokyo Family,2 wins & 16 nominations.,2,16,0,0,0,0,0,0,0,0
After Earth,3 wins & 7 nominations.,3,7,0,0,0,0,0,0,0,0
The Nut Job,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
About Last Night,1 nomination.,0,1,0,0,0,0,0,0,0,0
A Spell to Ward Off the Darkness,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
Big Ass Spider!,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
The War Around Us,1 win.,1,0,0,0,0,0,0,0,0,0
Last Love,2 nominations.,0,2,0,0,0,0,0,0,0,0
Captain America: The Winter Soldier,Nominated for 1 Oscar. Another 5 wins & 49 nominations.,5,50,0,1,0,0,0,0,0,0
The German Doctor,18 wins & 22 nominations.,18,22,0,0,0,0,0,0,0,0
House of Cards,Won 2 Golden Globes. Another 25 wins & 162 nominations.,27,162,0,0,0,0,0,0,2,0
Turbo,1 win & 11 nominations.,1,11,0,0,0,0,0,0,0,0
Song of the Sea,Nominated for 1 Oscar. Another 11 wins & 21 nominations.,11,22,0,1,0,0,0,0,0,0
The Amazing Spider-Man 2,3 wins & 29 nominations.,3,29,0,0,0,0,0,0,0,0
X-Men: Days of Future Past,Nominated for 1 Oscar. Another 15 wins & 42 nominations.,15,43,0,1,0,0,0,0,0,0
These Are the Rules,9 wins & 4 nominations.,9,4,0,0,0,0,0,0,0,0
Fast & Furious 6,8 wins & 21 nominations.,8,21,0,0,0,0,0,0,0,0
The Call,1 win & 10 nominations.,1,10,0,0,0,0,0,0,0,0
Penguins of Madagascar,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
Worlds Apart,1 win.,1,0,0,0,0,0,0,0,0,0
Trash,Nominated for 1 BAFTA Film Award. Another 2 wins & 4 nominations.,2,5,0,0,0,1,0,0,0,0
Let's Be Cops,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Big Wedding,2 nominations.,0,2,0,0,0,0,0,0,0,0
Carrie,5 wins & 7 nominations.,5,7,0,0,0,0,0,0,0,0
Red Sky,2 nominations.,0,2,0,0,0,0,0,0,0,0
The Hangover Part III,2 wins & 6 nominations.,2,6,0,0,0,0,0,0,0,0
The Hunger Games: Catching Fire,Nominated for 1 Golden Globe. Another 21 wins & 59 nominations.,21,60,0,0,1,0,0,0,0,0
The Hunger Games: Mockingjay - Part 1,Nominated for 1 Golden Globe. Another 16 wins & 26 nominations.,16,27,0,0,1,0,0,0,0,0
Sex Tape,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0,0
Delivery: The Beast Within,1 win.,1,0,0,0,0,0,0,0,0,0
Hide Your Smiling Faces,8 wins & 6 nominations.,8,6,0,0,0,0,0,0,0,0
Strike One,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
A Most Wanted Man,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
The Cooler Bandits,1 win.,1,0,0,0,0,0,0,0,0,0
Thor: The Dark World,2 wins & 18 nominations.,2,18,0,0,0,0,0,0,0,0
Cloudy with a Chance of Meatballs 2,16 nominations.,0,16,0,0,0,0,0,0,0,0
Machete Kills,3 nominations.,0,3,0,0,0,0,0,0,0,0
Neighbors,6 wins & 11 nominations.,6,11,0,0,0,0,0,0,0,0
Heavenly Sword,2 nominations.,0,2,0,0,0,0,0,0,0,0
Guardians of the Galaxy,Nominated for 2 Oscars. Another 48 wins & 92 nominations.,48,94,0,2,0,0,0,0,0,0
Mirage,1 nomination.,0,1,0,0,0,0,0,0,0,0
All Is Lost,Nominated for 1 Oscar. Another 3 wins & 45 nominations.,3,46,0,1,0,0,0,0,0,0
Banshee,Won 1 Primetime Emmy. Another 1 win & 5 nominations.,2,5,0,0,0,0,1,0,0,0
Closer to the Moon,9 wins & 3 nominations.,9,3,0,0,0,0,0,0,0,0
Non-Stop,1 nomination.,0,1,0,0,0,0,0,0,0,0
12 Years a Slave,Won 3 Oscars. Another 234 wins & 312 nominations.,237,312,0,0,0,0,0,3,0,0
On the Line,1 nomination.,0,1,0,0,0,0,0,0,0,0
Cracked,7 nominations.,0,7,0,0,0,0,0,0,0,0
Armed Response,1 win.,1,0,0,0,0,0,0,0,0,0
Ashley,3 wins.,3,0,0,0,0,0,0,0,0,0
Grace of Monaco,Nominated for 2 Primetime Emmys. Another 1 win & 2 nominations.,1,4,2,0,0,0,0,0,0,0
Dumb and Dumber To,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
Pieces of Talent,4 wins.,4,0,0,0,0,0,0,0,0,0
Grand Theft Auto V,10 wins & 23 nominations.,10,23,0,0,0,0,0,0,0,0
Lust for Love,2 wins.,2,0,0,0,0,0,0,0,0,0
Celebrity Name Game,1 win.,1,0,0,0,0,0,0,0,0,0
Steve Chong Finds Out That Suicide Is a Bad Idea,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
Sofia the First,Nominated for 2 Primetime Emmys. Another 4 wins & 15 nominations.,4,17,2,0,0,0,0,0,0,0
Josh,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Saving Mr. Banks,Nominated for 1 Oscar. Another 12 wins & 71 nominations.,12,72,0,1,0,0,0,0,0,0
Welcome Home,2 nominations.,0,2,0,0,0,0,0,0,0,0
Dancing on the Edge,Won 1 Golden Globe. Another 4 wins & 16 nominations.,5,16,0,0,0,0,0,0,1,0
Batman: The Dark Knight Returns; Part 2,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Tracks,2 wins & 18 nominations.,2,18,0,0,0,0,0,0,0,0
Finding Mr. Right,9 wins & 13 nominations.,9,13,0,0,0,0,0,0,0,0
Valentino,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Art of the Steal,5 nominations.,0,5,0,0,0,0,0,0,0,0
Into the Woods,Nominated for 3 Oscars. Another 11 wins & 69 nominations.,11,72,0,3,0,0,0,0,0,0
Death Do Us Part,2 nominations.,0,2,0,0,0,0,0,0,0,0
Bates Motel,Nominated for 3 Primetime Emmys. Another 2 wins & 48 nominations.,2,51,3,0,0,0,0,0,0,0
Stage Fright,1 nomination.,0,1,0,0,0,0,0,0,0,0
A Promise,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Sex; Drugs & Taxation,4 wins & 12 nominations.,4,12,0,0,0,0,0,0,0,0
Welcome to the Jungle,1 win.,1,0,0,0,0,0,0,0,0,0
About Time,3 wins & 9 nominations.,3,9,0,0,0,0,0,0,0,0
The Disciple,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0,0
Futuro Beach,8 wins & 11 nominations.,8,11,0,0,0,0,0,0,0,0
The Hot Flashes,2 nominations.,0,2,0,0,0,0,0,0,0,0
The Other Woman,3 wins & 4 nominations.,3,4,0,0,0,0,0,0,0,0
Transcendence,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
Amber,1 win.,1,0,0,0,0,0,0,0,0,0
Don Jon,1 win & 28 nominations.,1,28,0,0,0,0,0,0,0,0
Sand Castles,13 wins & 11 nominations.,13,11,0,0,0,0,0,0,0,0
The Love Punch,1 nomination.,0,1,0,0,0,0,0,0,0,0
Bob Servant Independent,2 nominations.,0,2,0,0,0,0,0,0,0,0
A Haunted House,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
I Give It a Year,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Big Hero 6,Won 1 Oscar. Another 13 wins & 53 nominations.,14,53,0,0,0,0,0,1,0,0
Scars,1 win.,1,0,0,0,0,0,0,0,0,0
The Film Critic,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
Broadchurch,19 wins & 21 nominations.,19,21,0,0,0,0,0,0,0,0
The Best Friend,1 win.,1,0,0,0,0,0,0,0,0,0
A Place to Call Home,1 win & 8 nominations.,1,8,0,0,0,0,0,0,0,0
Four Moons,3 wins & 4 nominations.,3,4,0,0,0,0,0,0,0,0
Bigshot,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Book of Life,Nominated for 1 Golden Globe. Another 3 wins & 27 nominations.,3,28,0,0,1,0,0,0,0,0
Dragon Ball Z: Battle of Gods,7 wins & 4 nominations.,7,4,0,0,0,0,0,0,0,0
Drinking Buddies,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
Joshua Tree,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
Gone Girl,Nominated for 1 Oscar. Another 64 wins & 169 nominations.,64,170,0,1,0,0,0,0,0,0
These Final Hours,3 wins & 7 nominations.,3,7,0,0,0,0,0,0,0,0
Revolution,1 win.,1,0,0,0,0,0,0,0,0,0
Cuéntame un cuento,2 wins.,2,0,0,0,0,0,0,0,0,0
The Grand Budapest Hotel,Won 4 Oscars. Another 122 wins & 213 nominations.,126,213,0,0,0,0,0,4,0,0
The Coin,1 win.,1,0,0,0,0,0,0,0,0,0
Muppets Most Wanted,3 wins & 11 nominations.,3,11,0,0,0,0,0,0,0,0
Man from Reno,3 wins & 4 nominations.,3,4,0,0,0,0,0,0,0,0
Witches of East End,3 nominations.,0,3,0,0,0,0,0,0,0,0
Once Upon a Time in Shanghai,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Canyons,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
Frozen,Won 2 Oscars. Another 72 wins & 57 nominations.,74,57,0,0,0,0,0,2,0,0
Bread and Butter,3 wins & 5 nominations.,3,5,0,0,0,0,0,0,0,0
Dracula,3 nominations.,0,3,0,0,0,0,0,0,0,0
Love Is in the Air,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Hobbit: The Battle of the Five Armies,Nominated for 1 Oscar. Another 6 wins & 45 nominations.,6,46,0,1,0,0,0,0,0,0
Eve of Destruction,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
Beauty and the Beast,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
De Wederopstanding van een Klootzak,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
The Notebook,5 wins & 2 nominations.,5,2,0,0,0,0,0,0,0,0
Beware the Batman,11 nominations.,0,11,0,0,0,0,0,0,0,0
The Expendables 3,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
Chocolat,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Woman in Black 2: Angel of Death,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Well,2 nominations.,0,2,0,0,0,0,0,0,0,0
Getting On,Nominated for 1 Primetime Emmy. Another 1 win & 5 nominations.,1,6,1,0,0,0,0,0,0,0
Rölli ja kultainen avain,2 nominations.,0,2,0,0,0,0,0,0,0,0
Being Mary Jane,7 wins & 18 nominations.,7,18,0,0,0,0,0,0,0,0
Leprechaun: Origins,2 nominations.,0,2,0,0,0,0,0,0,0,0
Rio 2,1 win & 19 nominations.,1,19,0,0,0,0,0,0,0,0
The Berlin File,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
Honey,23 wins & 27 nominations.,23,27,0,0,0,0,0,0,0,0
All the Wilderness,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
2 Francs; 40 Pesetas,2 nominations.,0,2,0,0,0,0,0,0,0,0
Agents of S.H.I.E.L.D.,Nominated for 2 Primetime Emmys. Another 2 wins & 21 nominations.,2,23,2,0,0,0,0,0,0,0
Bitten,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
Need for Speed,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
The River,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Orange Is the New Black,Nominated for 6 Golden Globes. Another 43 wins & 92 nominations.,43,98,0,0,6,0,0,0,0,0
The Next Step,3 wins & 7 nominations.,3,7,0,0,0,0,0,0,0,0
BFFs,4 wins & 3 nominations.,4,3,0,0,0,0,0,0,0,0
Run,2 wins & 7 nominations.,2,7,0,0,0,0,0,0,0,0
Black Sails,Won 3 Primetime Emmys. Another 2 wins & 17 nominations.,5,17,0,0,0,0,3,0,0,0
Deliver Us from Evil,2 nominations.,0,2,0,0,0,0,0,0,0,0
Special 26,11 nominations.,0,11,0,0,0,0,0,0,0,0
Monster Pies,1 win.,1,0,0,0,0,0,0,0,0,0
Treachery,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
Better Man,4 wins & 5 nominations.,4,5,0,0,0,0,0,0,0,0
Nymphomaniac: Vol. II,14 wins & 26 nominations.,14,26,0,0,0,0,0,0,0,0
Joe,4 wins & 9 nominations.,4,9,0,0,0,0,0,0,0,0
Jerusalem,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
Coyote,3 wins.,3,0,0,0,0,0,0,0,0,0
White Lies,2 wins & 9 nominations.,2,9,0,0,0,0,0,0,0,0
The Battle of the Sexes,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Education of Mohammad Hussein,2 nominations.,0,2,0,0,0,0,0,0,0,0
About: Kate,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Yozgat Blues,4 wins & 8 nominations.,4,8,0,0,0,0,0,0,0,0
Chosen,3 wins & 3 nominations.,3,3,0,0,0,0,0,0,0,0
Wings,2 nominations.,0,2,0,0,0,0,0,0,0,0
Model Behaviour,5 wins & 9 nominations.,5,9,0,0,0,0,0,0,0,0
Pac-Man and the Ghostly Adventures,6 nominations.,0,6,0,0,0,0,0,0,0,0
The Golden Ticket,4 wins & 9 nominations.,4,9,0,0,0,0,0,0,0,0
Kill Me Three Times,2 nominations.,0,2,0,0,0,0,0,0,0,0
Chasing Life,4 nominations.,0,4,0,0,0,0,0,0,0,0
The Reunion,11 wins & 6 nominations.,11,6,0,0,0,0,0,0,0,0
The Family,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Box,5 wins & 2 nominations.,5,2,0,0,0,0,0,0,0,0
The Past,Nominated for 1 Golden Globe. Another 12 wins & 35 nominations.,12,36,0,0,1,0,0,0,0,0
The Bridge,7 wins & 3 nominations.,7,3,0,0,0,0,0,0,0,0
The Human Factor,2 wins.,2,0,0,0,0,0,0,0,0,0
Tough Guy,1 nomination.,0,1,0,0,0,0,0,0,0,0
Killers,1 win.,1,0,0,0,0,0,0,0,0,0
Abducted,1 win.,1,0,0,0,0,0,0,0,0,0
Abuse of Weakness,4 nominations.,0,4,0,0,0,0,0,0,0,0
Sexo fácil; películas tristes,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Make a Wish,1 win.,1,0,0,0,0,0,0,0,0,0
Easy Money III: Life Deluxe,3 nominations.,0,3,0,0,0,0,0,0,0,0
Snow,1 win.,1,0,0,0,0,0,0,0,0,0
Mother; I Love You,7 wins & 4 nominations.,7,4,0,0,0,0,0,0,0,0
Recommended by Enrique,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
V/H/S/2,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
The Reckoning,3 wins & 4 nominations.,3,4,0,0,0,0,0,0,0,0
Avengers Assemble,8 nominations.,0,8,0,0,0,0,0,0,0,0
Shades,1 win.,1,0,0,0,0,0,0,0,0,0
Happy New Year,10 wins & 38 nominations.,10,38,0,0,0,0,0,0,0,0
The Illness and the Odyssey,2 wins.,2,0,0,0,0,0,0,0,0,0
Brooklyn Nine-Nine,Won 2 Golden Globes. Another 7 wins & 54 nominations.,9,54,0,0,0,0,0,0,2,0
Paranormal Activity: The Marked Ones,2 nominations.,0,2,0,0,0,0,0,0,0,0
Wasted,1 nomination.,0,1,0,0,0,0,0,0,0,0
Camp Lakebottom,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Fall from Heaven,7 wins & 2 nominations.,7,2,0,0,0,0,0,0,0,0
Spongebob Squarepants 4D Attraction: The Great Jelly Rescue,1 nomination.,0,1,0,0,0,0,0,0,0,0
Good Ol' Freda,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
Jealousy,2 nominations.,0,2,0,0,0,0,0,0,0,0
Man Up; Little Boy,1 win.,1,0,0,0,0,0,0,0,0,0
Escobar: Paradise Lost,1 nomination.,0,1,0,0,0,0,0,0,0,0
Rock the Casbah,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
24 Hour Rental,1 nomination.,0,1,0,0,0,0,0,0,0,0
72 Hours,1 win.,1,0,0,0,0,0,0,0,0,0
The Yes Men Are Revolting,1 nomination.,0,1,0,0,0,0,0,0,0,0
Call Me Crazy: A Five Film,4 wins & 2 nominations.,4,2,0,0,0,0,0,0,0,0
Halt and Catch Fire,Nominated for 1 Primetime Emmy. Another 1 win & 6 nominations.,1,7,1,0,0,0,0,0,0,0
The Enemy Within,4 wins & 7 nominations.,4,7,0,0,0,0,0,0,0,0
Gold Fever,1 win.,1,0,0,0,0,0,0,0,0,0
Romeo Killer: The Chris Porco Story,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Between Jupiter and Mars,1 nomination.,0,1,0,0,0,0,0,0,0,0
Salma,2 nominations.,0,2,0,0,0,0,0,0,0,0
Fire-Followers,1 nomination.,0,1,0,0,0,0,0,0,0,0
After School Massacre,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Holiday,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
The Second Meeting,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
In God We Trust,1 nomination.,0,1,0,0,0,0,0,0,0,0
Africa,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Studio illegale,1 win.,1,0,0,0,0,0,0,0,0,0
Silicon Valley,Nominated for 2 Golden Globes. Another 10 wins & 46 nominations.,10,48,0,0,2,0,0,0,0,0
Broad City,8 nominations.,0,8,0,0,0,0,0,0,0,0
Julia,13 wins & 8 nominations.,13,8,0,0,0,0,0,0,0,0
The Return,1 nomination.,0,1,0,0,0,0,0,0,0,0
Viral,1 nomination.,0,1,0,0,0,0,0,0,0,0
Venezia salva,1 win.,1,0,0,0,0,0,0,0,0,0
At the Devil's Door,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Necklace,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Great,4 wins & 5 nominations.,4,5,0,0,0,0,0,0,0,0
Real Husbands of Hollywood,2 wins & 15 nominations.,2,15,0,0,0,0,0,0,0,0
A Madea Christmas,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
Brimstone Terrace,1 win.,1,0,0,0,0,0,0,0,0,0
Die Tapferen Haende im Chaos der Zeit,5 wins & 2 nominations.,5,2,0,0,0,0,0,0,0,0
When the Ocean Met the Sky,10 wins & 2 nominations.,10,2,0,0,0,0,0,0,0,0
60 Minutes Sports,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
Amnesia,2 nominations.,0,2,0,0,0,0,0,0,0,0
The Ultimate Guide to the Presidents,2 nominations.,0,2,0,0,0,0,0,0,0,0
Ghost in the Shell Arise: Border 1 - Ghost Pain,1 nomination.,0,1,0,0,0,0,0,0,0,0
A Little Chaos,2 nominations.,0,2,0,0,0,0,0,0,0,0
Im Alleingang - Elemente des Zweifels,3 nominations.,0,3,0,0,0,0,0,0,0,0
Brody Stevens: Enjoy It!,1 nomination.,0,1,0,0,0,0,0,0,0,0
Sleepy Hollow,Nominated for 1 Primetime Emmy. Another 30 nominations.,0,31,1,0,0,0,0,0,0,0
Alien Mysteries,1 nomination.,0,1,0,0,0,0,0,0,0,0
What Remains,1 win.,1,0,0,0,0,0,0,0,0,0
In the Name of,4 wins & 6 nominations.,4,6,0,0,0,0,0,0,0,0
A Tale of Samurai Cooking: A True Love Story,2 nominations.,0,2,0,0,0,0,0,0,0,0
Almost Human,Nominated for 1 Primetime Emmy. Another 2 wins & 4 nominations.,2,5,1,0,0,0,0,0,0,0
Charlie Brooker's Weekly Wipe,1 nomination.,0,1,0,0,0,0,0,0,0,0
Commando,7 nominations.,0,7,0,0,0,0,0,0,0,0
Alive,4 nominations.,0,4,0,0,0,0,0,0,0,0
Invisible,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
About a Boy,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Harlock: Space Pirate,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
Time Lapse,18 wins & 5 nominations.,18,5,0,0,0,0,0,0,0,0
Jan Dara: The Finale,1 win & 5 nominations.,1,5,0,0,0,0,0,0,0,0
Big Shot,1 nomination.,0,1,0,0,0,0,0,0,0,0
Last Call,6 wins & 13 nominations.,6,13,0,0,0,0,0,0,0,0
Summer,1 win & 8 nominations.,1,8,0,0,0,0,0,0,0,0
This Way Out,4 wins.,4,0,0,0,0,0,0,0,0,0
Above and Beyond,1 win.,1,0,0,0,0,0,0,0,0,0
Adam,1 win.,1,0,0,0,0,0,0,0,0,0
Atlantis,1 nomination.,0,1,0,0,0,0,0,0,0,0
Bonnie & Clyde,Nominated for 4 Primetime Emmys. Another 12 nominations.,0,16,4,0,0,0,0,0,0,0
The Morning After,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
The Tunnel,4 wins & 2 nominations.,4,2,0,0,0,0,0,0,0,0
Drunk History,Won 1 Primetime Emmy. Another 1 win & 4 nominations.,2,4,0,0,0,0,1,0,0,0
A Mãe do Senhor Ministro,1 nomination.,0,1,0,0,0,0,0,0,0,0
On the Job,20 wins & 32 nominations.,20,32,0,0,0,0,0,0,0,0
Circus Halligalli,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
Sharknado,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Chiquititas,9 nominations.,0,9,0,0,0,0,0,0,0,0
Two Days; One Night,Nominated for 1 Oscar. Another 38 wins & 74 nominations.,38,75,0,1,0,0,0,0,0,0
All My Children,3 wins & 3 nominations.,3,3,0,0,0,0,0,0,0,0
