Title,Awards,Total_Awards_Won,Total_Awards_Nominated,Prime_Awards_Nominated,Oscar_Awards_Nominated,Golden_Globe_Awards_Nominated,BAFTA_Awards_Nominated,Prime_Awards_Won,Oscar_Awards_Won,Golden_Globe_Awards_Won,BAFTA_Awards_Won
Dickie Roberts: Former Child Star,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Around the World in 80 Days,2 nominations.,0,2,0,0,0,0,0,0,0,0
The Kiss,1 win.,1,0,0,0,0,0,0,0,0,0
Seabiscuit,Nominated for 7 Oscars. Another 6 wins & 36 nominations.,6,43,0,7,0,0,0,0,0,0
Saved!,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
A Hole in One,1 nomination.,0,1,0,0,0,0,0,0,0,0
Alienated,1 nomination.,0,1,0,0,0,0,0,0,0,0
You're My Hero,2 wins.,2,0,0,0,0,0,0,0,0,0
The Door in the Floor,2 wins & 7 nominations.,2,7,0,0,0,0,0,0,0,0
A Casa das Sete Mulheres,14 wins & 22 nominations.,14,22,0,0,0,0,0,0,0,0
Fighter Pilot: Operation Red Flag,1 nomination.,0,1,0,0,0,0,0,0,0,0
Cold Turkey,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Nashville Star,1 nomination.,0,1,0,0,0,0,0,0,0,0
All of Us,12 nominations.,0,12,0,0,0,0,0,0,0,0
America's Next Top Model,5 wins & 34 nominations.,5,34,0,0,0,0,0,0,0,0
10.5,Nominated for 1 Primetime Emmy. Another 1 win & 2 nominations.,1,3,1,0,0,0,0,0,0,0
After the Game,9 nominations.,0,9,0,0,0,0,0,0,0,0
Agora É Que São Elas,8 nominations.,0,8,0,0,0,0,0,0,0,0
All About the Andersons,2 nominations.,0,2,0,0,0,0,0,0,0,0
The Brotherhood of Poland; New Hampshire,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Hollow,2 nominations.,0,2,0,0,0,0,0,0,0,0
A Miami Tail,1 win.,1,0,0,0,0,0,0,0,0,0
Secret Santa,3 wins.,3,0,0,0,0,0,0,0,0,0
The Other Woman,1 nomination.,0,1,0,0,0,0,0,0,0,0
1-800-Missing,1 win & 5 nominations.,1,5,0,0,0,0,0,0,0,0
16,2 nominations.,0,2,0,0,0,0,0,0,0,0
Napoleon Dynamite,10 wins & 22 nominations.,10,22,0,0,0,0,0,0,0,0
The Ghost Club,1 nomination.,0,1,0,0,0,0,0,0,0,0
Kill Bill: Vol. 2,Nominated for 2 Golden Globes. Another 21 wins & 72 nominations.,21,74,0,0,2,0,0,0,0,0
7 días; 7 noches,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Basque Ball: Skin Against Stone,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0,0
The Letter: An American Town and the 'Somali Invasion',1 win.,1,0,0,0,0,0,0,0,0,0
When I Grow Up; I'll Be a Kangaroo,1 win.,1,0,0,0,0,0,0,0,0,0
Alt und durchgeknallt,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Aquí hay tomate,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
The Dr. Jekyll & Mr. Hyde Rock 'n Roll Musical,1 win.,1,0,0,0,0,0,0,0,0,0
Wolf,2 wins & 10 nominations.,2,10,0,0,0,0,0,0,0,0
5ive Days to Midnight,1 nomination.,0,1,0,0,0,0,0,0,0,0
Curse of the Ring,1 nomination.,0,1,0,0,0,0,0,0,0,0
Saw,8 wins & 10 nominations.,8,10,0,0,0,0,0,0,0,0
All Grown Up!,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
Clean,2 wins & 8 nominations.,2,8,0,0,0,0,0,0,0,0
The Mystery of Natalie Wood,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
Once Upon a Time in High School: The Spirit of Jeet Kune Do,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Airline,1 nomination.,0,1,0,0,0,0,0,0,0,0
